summary,description,Ticker,adjusted_date,sentiment
"Osaka Governor Hirofumi Yoshimura said that the delay to plans for Japan's first casino resort won't have an adverse effect on the project in the long run. The Osaka plan for a so-called ‚Äúintegrated resort‚Äù featuring hotels, entertainment and conference centers as well as a casino, gained government approval in April. The initial investment in the resort on Yumeshima, an artificial island in Osaka Bay, will be ¬•1.08 trillion ($7.9 billion). Construction is likely to begin late this year or early in 2024, with the facility set to open for business in the first half of 2030. Concern over addiction and public safety contributed to the delay in approval for casinos in Japan, although the country already allows gambling on horse, bike and motorboat racing.","Years of delay to plans for Japan‚Äôs first casino resort won‚Äôt have an adverse effect on the project in the long run, Osaka Governor Hirofumi Yoshimura said, as the facility looked set to open in 2030.",MGM,9/15/2022 0:00,negative
"MetLife (MET) is a Finance stock that has seen a price change of -18.38% so far this year, with a dividend yield of 3.39%. The company's current annualized dividend of $2 is up 1% from last year, and it has increased its dividend 5 times on a year-over-year basis over the last 5 years. Investors like dividends for many reasons, but not every company offers a quarterly payout. MetLife is a compelling investment opportunity with a Zacks Rank of #2 (Buy).","Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does MetLife (MET) have what it takes? Let's find out.",MET,9/15/2022 0:00,positive
"Billionaire‚Äôs Kotak Mahindra Bank Weighs Insurance Unit Stake Sale, Sources Say. ‚Ä¢ None China Ready to Down Object Flying Near Naval Base: Paper
‚Ä¢ None Object Shot Down Over Canada in Escalating Aerial Drama
‚Ä¢ None US Hasn‚Äôt Ruled Out Alien Origins for Latest Objects Shot Down
‚Ä¢ None US Fighters Down More Objects as Tension Ratchets Higher The wholly-owned subsidiary of Kotak Mahindra Bank offers an array of insurance product types including auto, health and commercial, the website shows.","(Bloomberg) -- Kotak Mahindra Bank Ltd., backed by billionaire Uday Kotak, is considering selling a minority stake in its general insurance unit, according to people familiar with the matter.Most Read from BloombergChina Ready to Down Object Flying Near Naval Base: PaperObject Shot Down Over Canada in Escalating Aerial DramaUS Fighter Jet Downs Fourth Aerial Object Over North AmericaUS Hasn‚Äôt Ruled Out Alien Origins for Latest Objects Shot DownUS Fighters Down More Objects as Tension Ratchets Hi",MET,9/15/2022 0:00,negative
"This week, top-five producer AngloGold Ashanti Ltd. announced it would move its primary listing to the New York Stock Exchange. This move marks the severing of more than a century of ties with South Africa and points to a wider reality for the gold mining market. The concentration of industry-specific exchange-traded funds have also added to the attraction, and the importance of New York trading is already apparent for AngloGold. The metal has risen amid banking sector turmoil, strong central-bank buying and increasing bets the Fed will start cutting interest rates later this year. AngloGold believes having more US shareholders will help close the valuation gap.","(Bloomberg) -- The momentum has been building for years, but this week made it official: the epicenter of the gold mining industry now lies firmly in New York.Most Read from BloombergThis New Airline Is Raising the Bar, From First Class to EconomyYellen Says ‚ÄòWe Have to Default‚Äô on Something If Congress FailsTesla Recalls Virtually Every Car It Has Sold in ChinaFlorida‚Äôs Money Man Threatens to Cut Ties With Bank of America, Wells FargoElon Musk Picks Linda Yaccarino as Next Twitter CEOThe announ",NEM,9/15/2022 0:00,positive
"

The case is In re Tesla Inc Securities Litigation, No. 18-04865.

The 5th U.S. Circuit Court of Appeals is expected to rule this year on conservative activists' challenge to Nasdaq's board diversity rule, which requires companies listed on the exchange to have diverse boards, or explain why they do not.

The rule was introduced in late 2020, after protests in the U.S. over racial injustice sparked discussion about corporate board diversity.

But the groups say it violates the Constitution by encouraging discrimination and violating companies' right to free speech.

Nasdaq has argued the rules level the playing field between large investors that have the resources to compile boards' demographic information and small investors who do not. 

U.S. law allows investors to sue over misleading offering materials, but only when their shares are ""traceable"" to the materials. 

The justices will consider how to apply that to direct listings, where unregistered insider shares and registered shares issued pursuant to offering materials are made available at the same time and are practically impossible to distinguish. 

Slack has argued the 9th Circuit's ruling conflicts with decisions by other courts and would allow investors to sue over offering materials without tracing their stock back to the applicable offering.","Some of the biggest securities cases of 2023 are surely yet to come, but major litigation is already on the docket. Courts are set to grapple with whether Elon Musk defrauded Tesla shareholders, whether investors can sue over misstatements in direct listings and if Nasdaq's board diversity rule is constitutional.",NDAQ,9/15/2022 0:00,negative
"CFOs Boost Currency Protections, Extend Hedge Contracts as Strong Dollar Takes Toll. 

The dollar in recent quarters has surged against major international currencies as the Federal Reserve‚Äôs rate increases outpace those of other central banks, making higher-yielding dollar assets more attractive for investors. Changes to companies‚Äô hedge contracts include covering larger amounts of earnings as well as longer durations beyond the usual 18 to 24 months. 

Midland, Mich.-based Dow recorded a significant jump in foreign currency contracts as well, from $5.3 billion at the end of December to $13.13 billion at the end of the third quarter.","Coca-Cola, Kimberly-Clark and Prologis are among the U.S. businesses that have added protection or lengthened hedges",KO,9/15/2022 0:00,positive
"Robert Half (NYSE: RHI) has been named one of Barron's 100 Most Sustainable Companies for the sixth consecutive year. The list analyzes the 1,000 largest U.S. public companies on environmental, social and governance (ESG) factors in five key categories: employees, customers, community, planet and shareholders. Robert Half's Leading with Integrity: Environmental, Social and Governance Report 2021 details the company's social and environmental commitments, from diversity, equity and inclusion to cybersecurity and privacy to talent attraction, retention and development. The 2022 report will be released in mid-April.",Global talent solutions and business consulting firm Robert Half (NYSE: RHI) has been named to the list of Barron's 100 Most Sustainable Companies for the sixth consecutive year. Robert Half has been included every year since the list first debuted in 2018.,RHI,9/16/2022 0:00,positive
"The $9.6 billion investment for mail trucks and chargers, including $3 billion from the Inflation Reduction Act, could soon give the Postal Service the largest electric fleet in the US. ‚ÄúThe biggest thing was financial ability and operational suitability,‚Äù he told reporters outside the US Postal Service headquarters in Washington, DC. 

The Postal Service has been looking for new trucks for years. 

Mail trucks are almost the perfect use case for electric vehicles.",A new fleet of electric mail trucks heralds the next phase of the EV revolution.,UPS,9/16/2022 0:00,positive
"FedEx announced on Monday that it will close 29 Freight locations, furloughing another round of employees as a result of slowing demand. The closures are expected to occur by August 13th, and the company will consolidate its operations into other FedEx locations. The company also mentioned that furloughed employees will continue to have their health benefits, and a possibility of transferring to other areas that require a larger workforce.","FedEx announced on Monday that it will close 29 Freight locations, furloughing another round of employees as a result of slowing demand.  The closures are expected to occur by August 13th, and the ‚Ä¶",FDX,9/16/2022 0:00,negative
"Economic storm clouds are gathering worldwide as some of the largest shipping companies warn about sliding global trade. 


The latest from the IMF's World Economic Outlook and World Bank's Economic Prospects is a downshift in global economic growth with high inflation, i.e., stagflation. 

Then the UN Conference on Trade and Development warned global central banks are hiking interest rates too aggressively, which could trigger an economic crisis. 



All the rate hikes by global central banks this year have a 9-12 month lag before hitting world trade.","FedEx Parks Planes, Maersk Cancels Sails: World Trade Appears To Be Rapidly Deteriorating 

            Economic storm clouds are gathering worldwi...",FDX,9/16/2022 0:00,positive
